model_name,policy_name,approve_rate,review_rate,decline_rate,fraud_capture_decline,fraud_capture_review_decline,false_decline_rate_good,fraud_rate_approve,fraud_rate_review,fraud_rate_decline,fraud_approved,fraud_reviewed,fraud_declined,good_approved,good_reviewed,good_declined,estimated_total_cost,roc_auc
random_forest_champion,balanced,0.9310630947945948,0.05195245029972567,0.016984454905679548,0.4669731429954029,0.8398257924026131,0.0006668128975652555,0.006020042558609024,0.25114080834419816,0.9621136590229312,662,1541,1930,109304,4595,76,98400,0.9507233223122364
random_forest_champion,aggressive,0.9507400006773462,0.03769431367900566,0.011565685643648186,0.32639729010404067,0.797483668037745,0.00014915551656064925,0.007453913972749132,0.43733153638814015,0.9875549048316252,837,1947,1349,111453,2505,17,106300,0.9507233223122364
random_forest_champion,conservative,0.8718969079147898,0.10406577031191791,0.02403732177329224,0.605371400919429,0.8932978466005324,0.0029567887694669885,0.004282468099982521,0.09681881051175657,0.8812962310672772,441,1190,2502,102537,11101,337,112295,0.9507233223122364
xgboost_challenger,conservative,0.8737172757137535,0.11685914586649507,0.009423578419751414,0.20541979191870313,0.662714735059279,0.00231629743364773,0.013508668223619819,0.13693667584408056,0.7628032345013477,1394,1890,849,101799,11912,264,213690,0.8659930984181534
xgboost_challenger,balanced,0.9410539506214651,0.05535611474243912,0.0035899346360957767,0.09557222356641665,0.5296394870554076,0.00025444176354463697,0.017490507980494126,0.2743958397063322,0.9316037735849056,1944,1794,395,109202,4744,29,227670,0.8659930984181534
xgboost_challenger,aggressive,0.9632624377688218,0.03471399058488841,0.0020235716462898364,0.05516573917251391,0.44471328332930077,9.651239306865541e-05,0.020172454710861484,0.3926829268292683,0.9539748953974896,2295,1610,228,111474,2490,11,250220,0.8659930984181534
