policy_name,total_transactions,total_fraud,total_nonfraud,approve_rate,review_rate,decline_rate,fraud_approved,fraud_reviewed,fraud_declined,good_approved,good_reviewed,good_declined,fraud_capture_decline,fraud_capture_review_decline,false_decline_rate_good,estimated_total_cost
balanced,118108,4133,113975,0.9310630947945948,0.05195245029972567,0.016984454905679548,662,1541,1930,109304,4595,76,0.4669731429954029,0.8398257924026131,0.0006668128975652555,98400
aggressive,118108,4133,113975,0.9507400006773462,0.03769431367900566,0.011565685643648186,837,1947,1349,111453,2505,17,0.32639729010404067,0.797483668037745,0.00014915551656064925,106300
conservative,118108,4133,113975,0.8718969079147898,0.10406577031191791,0.02403732177329224,441,1190,2502,102537,11101,337,0.605371400919429,0.8932978466005324,0.0029567887694669885,112295
